key,summary
GENSIX-71705,"[CCS] Page indicator displaying as incorrectly in ""Activate connected services screen"""
GENSIX-71704,[User Profile]: NO Focus is observed in User Profile Settings Screen after closing the Menu option for Second time.
GENSIX-71702,[Radio] Radio tune information is displayed in Radio screen after coming back from delete presets screen.
GENSIX-71699,[Profile]: Focus getting disappeared tapping on the change user option.
GENSIX-71695,[Manual]: No focus is observed in Option menu on making Display Off/on.
GENSIX-71694,[Manual]: Blank Screen is getting displayed in Handwriting Manual Screen on Performing RVC ON/OFF.
GENSIX-71675,[Manual] Focus is not retained back to input text field on performing ccp pushdial up/down in Manual > Handwritting tutorial screen.
GENSIX-71674,[Split screen] Voice memo icon is getting displayed in split screen while starting recording.
GENSIX-71671,[Phone]: Add to Favorite Search Contacts Split Screen Text is displayed in Menu option Screen.
GENSIX-71670,"[Media]:""Screen is getting blank on tapping on play multiple songs in music streaming keypad screen."""
GENSIX-71669,[Radio] Scan function is not working as intended on the rotating dial through Menu
GENSIX-71668,[Genesis LIVE] Two pop ups are getting closed together on pressing CCP back button in Genesis LIVE screen.
GENSIX-71667,[Navigation]: Keyboard Alignment is not Proper Navigation search Keypad.
GENSIX-71666,[Carplay]:Able to Enter into User Profile Screen On Carplay Active Call State.
GENSIX-71665,[Radio]: Delete Popup is getting closed on making RVC off/on.
GENSIX-71663,[Music Streaming] : System is switching to Sound of Nature Screen on Performing Short Press Media H/K
GENSIX-71662,[Keypad] Characters are not getting entered for the First time in Music streaming search keypad screen.
GENSIX-71659,[Keypad]: Focus is not appearing in the Enter the keyword Text line after making Display off/on.
GENSIX-71658,[Mediaplayer]Options are not displayed in korea even after changing language to korea in delete screen
GENSIX-71657,[Navigation menu] Delete text is not getting displayed properly.
GENSIX-71656,[Manual] Focus is not Shifting to the Left side on performing CCP Push dail[Left] in Manual Keypad screen.
GENSIX-71655,[Media Streaming] : System is not switching to AV on State on Performing Short Press Power Button
GENSIX-71654,[Popup]Popup is closing upon CCP tune roll
GENSIX-71653,[Keypad] Upon Tapping Delete Icon Screen is not Transiting to Keypad Screen.
GENSIX-71652,[keypad] Characters are over-writing from the highlighted area.
GENSIX-71649,[Keypad]No focus is observed upon CCP push down
GENSIX-71647,"[Media]:""Screen is getting blank on coming back from message screen."""
GENSIX-71646,[Music Streaming] : Blank Screen is Observed for Some time on Performing Long Press Tune H/K
GENSIX-71636,"[Media]:""Blank Screen is getting displayed & system is getting hanged on ending BT Incoming Call. """
GENSIX-71635,[Music Streaming] : Empty Space Is Observed in Keypad Screen when Kepad is set to 10 Keys
GENSIX-71632,[Media player]Upon performing RVC on and off blank screen is displayed for the while.
GENSIX-71629,[DMB]: Flickering is observed in Split screen.
GENSIX-71628,"[Navigation] When Modem is On, Alert Option is not getting displayed in Navigation Settings Screen."
GENSIX-71627,"[Media player]Upon doing outgoing call through Phone,screen is not going to call screen"
GENSIX-71626,[Setup] Door/Tailgate text is not displayed properly in setup main screen.
GENSIX-71625,"[Media]:""System is switching to home screen and getting hanged when call is on hold """
GENSIX-71614,[Music Streaming]: Settings S/k is not working in Keypad screen.
GENSIX-71613,[Music Streaming] : Volume Level is not Decreasing to 7 On Enabling Quiet Mode
GENSIX-71606,[Settings]: Touch pad Recognition Angle screen is displayed on Software information screen.
GENSIX-71599,[USB Video] : Focus is Not Shifting to Rear Seat Option On Pressing CCP Push Dial (Down)6
GENSIX-71594,[Media Player] : Music Streaming Screen is getting hanged for Sometime
GENSIX-71593,[RVC]: Inconsistent behaviour is observed in Rear view camera Screen.
GENSIX-71592,[Setup] Alignment is not proper in Navigation->alerts screen when the font size is set to extra large.
GENSIX-71590,[Map]: Menu h/k is not working in Map Screen
GENSIX-71587,[Setup] Delay is observed after pressing custom buttom to make display off while reordering splitscreen options in display settings
GENSIX-71582,[Setup] Inconsistant behaviour observed while reordering the options in Button/Touchpad settings
GENSIX-71580,[Keypad] Focus is getting disappeared in Keypad screen on changing the Cyrillic keyboard options from rear screen.
GENSIX-71578,[Radio]: Scan AM/FM S/W key is not working in Radio Screen.
GENSIX-71577,[OSD/Popup] Feature Unavailable while recording popup is not getting displayed on tapping music streaming option.
GENSIX-71575,[Keypad] Able to give input through CCP touchpad in input search field
GENSIX-71547,[Setup] Clicking on Time settings value is not getting displayed in Date/Time icon
GENSIX-71546,[Voice Memo] Sometime Voice memo is not getting ended on performing PWR OFF / ON
GENSIX-71543,[Settings] Previously selected screen is not retained on performing RVC on-off in Camera Settings screen.
GENSIX-71541,[Navigation] Flickering is observed on the auto scale settings screen
GENSIX-71540,[Bluetooth]Volume is not decreased to 20 upon rebooting the H/U
GENSIX-71537,[DMB]: Focus is not appearing on the next option in Split screen.
GENSIX-71536,[Phone]:Focus is not getting Displayed On Handwriting Gesture On Performing Seek UP/DOWN.
GENSIX-71535,"[Manual]:""Web Manual video is not playing properly for second time """
GENSIX-71533,[Navigation]: Text overlapping is observed on Fuel price information setting screen.
GENSIX-71532,[Setting]:System Info Screen is Changing to Call Screen On Accepting the Call.
GENSIX-71530,[Manual]:Able to Play Video Manual File On Active Call State.
GENSIX-71529,[Media Player] Menu Option is not Closing on Selecting Login in Music Streaming Screen.
GENSIX-71516,[Radio] : Popup is getting closed on Making Display off/on.
GENSIX-71511,[RVC] In RVC screen sound is not getting decreased to default 5 for India Region
GENSIX-71508,[Settings]: System is switching back to keypad screen on selecting link Bluetooth device screen.
GENSIX-71506,[DRM]:Band Popup and Weather popups are getting Overlap in Display off state.
GENSIX-71504,[Setting]:Focus is Observed On Guide Text On User Profile Screen.
GENSIX-71503,[CCS] Focus Highlight is not Proper in Connected Services Settings Screen.
GENSIX-71501,[Radio] Radio/Media off osd is not coming after short press volume button in ccp while radio is running background
GENSIX-71500,[Radio] Inconsistent behaviour is observed on scanning the FM/AM in radio screen.
GENSIX-71498,[User profile] Not able to change user profile from ccp touch pad.
GENSIX-71497,[Keypad] No Focus is Observed in Music Streaming Search Keypad Screen.
GENSIX-71495,[Setting]:Screen is Exiting to Setup List Screen On Performing Display OFF/ON On User Profile Screen.
GENSIX-71493,[Popup]'Cannot input anymore' popup is not displayed in keypad screen
GENSIX-71490,"[Media] String value is observed on ""Cannot input more ""alert popup in media"
GENSIX-71488,"[Media] ""Cannot input more"" alert popup is not displayed after enter maximum letters in keypad"
GENSIX-71487,[Media Player] Dual Focus is Observed in Music Streaming Screen
GENSIX-71484,[Media Player] Inconsistance Behaviour is Observed in Music Streaming Playlist Screen
GENSIX-71483,[Keypad]:No Focus is observed in search setup screen.
GENSIX-71482,[Settings] Reset popup is not displyed after tapping on reset option
GENSIX-71481,[Settings]: Improper behavior is observed on reorder Mode button(Steering wheel) screen after performing the reordering through CCP wheel.
GENSIX-71479,[Setting]:UI is Not Proper On Changing Graphic Themes to Copper Rust.
GENSIX-71476,[Media] : Blank screen is observed in Music streaming screen.
GENSIX-71473,[Settings] String value observed in display settings
GENSIX-71472,[Setup]: Blank Screen is getting displayed in Camera Settings Screen on Performing RVC ON/OFF.
GENSIX-71471,[Media] Media gate is not displayed on pressing media H/K
GENSIX-71469,[Setup] Different text is getting displayed on selecting 'Key Out On' in Door screen.
GENSIX-71468,[Profile] Able to Enter Inside the Password Option Even it is in Disabled State.
GENSIX-71466,[Setting]:System is not Entering into Device Connection Setting Screen When Call is an Hold State.
GENSIX-71465,[Media player]String value is observed in the melon music screen
GENSIX-71463,[Profile] String ID is displayed in Saftey warning screen
GENSIX-71462,[Radio] No focus is observed on radio screen on coming back from delete presets screen.
GENSIX-71461,[Media Player] No Focus is Observed in Music Streaming Favorites Screen.
GENSIX-71460,[Settings] Split screen is getting displayed on selecting split screen options in display settings.
GENSIX-71459,[Keypad]Screen is getting hang and blank screen is observed upon tapping VR icon for second time
GENSIX-71458,"[Keypad]Upon tapping settings icon s/k,no action is observed"
GENSIX-71457,[[Music streaming] Alignment is not proper in the keypad screen
GENSIX-71456,[Setting]:Able to Enter into Sound Setting Screen When Call is an Hold State.
GENSIX-71425,[Music streaming] Option Menu is not working in play multiple song screen
GENSIX-71424,[Music streaming] Selected Splitscreen option is not retained in Assistant Window
GENSIX-71422,[Music streaming] String value is observed in Music streaming menu
GENSIX-71421,[MusicStreaming] Blank screen is observed on tapping on genie music
GENSIX-71416,[Radio] Inconsistent behaviour is observed in Manual tune FM screen.
GENSIX-71413,[DMB] : Focus is not available in DMB screen.
GENSIX-71411,[Setup]:Improper behaviour is observed in Setup Keypad on changing keypad settings to 10Keys
GENSIX-71410,[Setup] Screen is not transiting back on performing display off/on in BT setup screen.
GENSIX-71409,[DMB] : Option Menu is not closing after screen transition in DMB screen.
GENSIX-71406,[DMB] : Split screen Option Menu is not closing On making RVC off/on.
GENSIX-71402,[Keypad] Improper behaviour is observed in Keypad screen
GENSIX-71401,[Keypad] Focus is disappering on Long Pressing Delete S/K.
GENSIX-71400,[OSD]Flickering is observed in the voice memo system info screen
GENSIX-71390,[Keypad] :Dual focus is observed in Keypad screen
GENSIX-71381,[VR] During VR Radio sound is audible after changing the language
GENSIX-71379,[Settings]: Focus is not appearing at the same option in popup screen after making Display off/on.
GENSIX-71376,[CCS] Back S/K is not Working in Activate Connected Services.
GENSIX-71349,"[Setup]:""Blank screen is getting displayed in door/tailgate setting."""
GENSIX-71341,[VR] Sometime focus is not getting displayed in VR screen
GENSIX-71339,[VR] Clicking on VR Icon (S/K) VR screen is not getting displayed
GENSIX-71338,[Settings]: Focus is not appearing in the Split Screen option on performing CCP right.
GENSIX-71337,[Settings]: Dual Focus is observed in camera settings screen Screen.
GENSIX-71336,"[Carplay] After disconnecting the Carplay, ""Feature unavailable during call...""popup is getting displayed on tapping on the Memory, Reset SK"
GENSIX-71335,[Popup] Improper behaviour is observed on pressing custom h/k on VR screen.
GENSIX-71334,[AssistantWindow]: Dual Focus is observed in Quiet Mode Screen.
GENSIX-71326,[VoiceMemo] Able to record and play the recordings simultanously in voice memo screen.
GENSIX-71325,[CCS] Inconsistent behaviour is happening in CCS search Keypad screen
GENSIX-71314,[Settings]: Focus getting disappeared on the incoming BT call popup.
GENSIX-71293,[Keypad] Alignment issue is observed in Settings Keypad screen.
GENSIX-71292,[Settings]: Improper behavior is observed on scrolling the page in Display settings screen.
GENSIX-71290,"[Setup]:""Time setting screen is exiting on accepting BT call."""
GENSIX-71289,[Setting]:Incoming Call Popup is not getting Displayed On Camera Setting Screen.
GENSIX-71287,[Settings]: Alignment line issue is observed on Navigation Settings screen.
GENSIX-71286,[Settings]: Focus is not appearing at the Default option after closing the option Menu.
